339,535,1941,48,25,735,6,3
224,455,1341,28,55,635,1,2
483,635,3159,80,31,1110,1,2
320,485,1982,57,29,580,0,1
159,360,355,24,8,420,0,1
491,895,2759,68,31,1255,4,1
291,705,275,36,13,840,6,0
234,525,482,36,17,525,3,0
394,515,1730,57,26,965,3,1
627,915,5035,100,40,1500,2,1
558,700,4193,89,35,1360,0,1
133,340,48,14,0,525,0,0
403,515,2245,63,28,950,0,1
135,370,59,19,2,455,0,0
116,305,21,9,0,490,0,0
477,865,3142,78,32,1080,3,1
684,855,4966,102,38,1735,8,1
148,365,91,21,5,455,0,0
1053,1720,9928,164,46,2730,19,1
699,1365,4998,105,38,1750,11,1
154,355,61,16,1,595,0,0
1641,83135,16388,248,71,4420,21,2
158,355,109,14,1,595,4,0
107,260,20,8,0,455,0,0
167,385,317,21,1,595,0,1
165,360,76,23,7,490,0,0
843,910,5456,123,38,2260,14,1
671,610,2937,90,31,1915,6,1
350,385,63,23,4,1400,3,2
2126,16195,17226,265,61,6600,45,1
0,240,0,0,0,0,0,0
18,305,4,2,0,70,0,0
2,220,2,1,0,0,0,0
42,285,0,0,0,210,0,0
